导演,演员2,演员1,电影,演员3,内容,评级,体裁,,,,
James McTeigue,Roger Rees,Milla Jovovich,Survivor?,Robert Forster,cigarette lighter|death|fire|on the run|terrorist,PG-13,Action,,,,
Ric Roman Waugh,Harold Perrineau,Dwayne Johnson,Snitch?,Nadine Velazquez,cigarette smoking|dea|drugs|inspired by true events|undercover,PG-13,Action,Drama,,,
Tim Burton,Jack Palance,Michael Gough,Batman?,William Hootkins,city|dc comics|gotham|pantyhose|police,PG-13,Action,,,,
Roland Emmerich,Dennis Quaid,Jake Gyllenhaal,The Day After Tomorrow?,Sela Ward,climate|end of the world|global warming|natural disaster|weather,PG-13,Action,,,,
Roger Spottiswoode,Michael Rapaport,Robert Duvall,The 6th Day?,Tony Goldwyn,clone|cloning|future|laser gun|murder,PG-13,Action,,,,
Michael Bay,Steve Buscemi,Scarlett Johansson,The Island?,Djimon Hounsou,clone|environment|escape|island|lottery,PG-13,Action,,,,
Kevin Munroe,Laura Spencer,Marco St. John,Dylan Dog: Dead of Night?,Anita Briem,close up of eyes|monster|quirkiness|supernatural|vomiting,PG-13,Action,Comedy,,,
Jeff Wadlow,Neil Brown Jr.,Djimon Hounsou,Never Back Down?,Leslie Hope,club|fight|fighting|high school|mixed martial arts,PG-13,Action,Drama,,,
Stephen Sommers,Dennis Quaid,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra?,Leo Howard,cobra|gi joe|snake|train|warhead,PG-13,Action,,,,
Robert Marcarelli,William Hootkins,George Coe,The Omega Code?,Ayla Kell,code|evil|false accusation|megalomaniac|torah,PG-13,Action,,,,
Andrew Davis,Morgan Freeman,Keanu Reeves,Chain Reaction?,Kevin Dunn,cold fusion|die hard scenario|man with glasses|on the run|outrunning explosion,PG-13,Action,Drama,,,
Phillip Noyce,Michael Byrne,Alun Armstrong,The Saint?,Velibor Topic,cold fusion|disguise|energy|fusion|the saint,PG-13,Action,,,,
Rob Cohen,Viggo Mortensen,Sylvester Stallone,Daylight?,Amy Brenneman,collapsing tunnel|explosion|new jersey|tunnel|weimaraner,PG-13,Action,,Drama,,
Rob Cohen,Leslie Bibb,Paul Walker,The Skulls?,William Petersen,college|friend|ivy league|secret society|suicide,PG-13,Action,,Drama,,
Jan de Bont,Temuera Morrison,Jason Patric,Speed 2: Cruise Control?,Lois Chiles,collision course|computer|cruise|diamonds|ship run aground,PG-13,Action,,,,
Christopher McQuarrie,Robert Duvall,Tom Cruise,Jack Reacher?,David Oyelowo,coma|mysterious villain|police chase|shooting range|sniper,PG-13,Action,,,,
Les Mayfield,Will Patton,Callum Rennie,Code Name: The Cleaner?,Cedric the Entertainer,comic violence|hand to hand combat|kung fu|talking to self in mirror|violence,PG-13,Action,Comedy,,,
Christian Duguay,Bridgette Wilson-Sampras,Rufus Sewell,Extreme Ops?,Rupert Graves,commercial|extreme sports|mountain|serbian|terrorist,PG-13,Action,,,,
Tim Story,Nadine Velazquez,Olivia Munn,Ride Along 2?,Bruce McGill,computer hacker|crime boss|detective|drugs|wedding,PG-13,Action,Comedy,,,
Jimmy Hayward,Billy Blair,Michael Fassbender,Jonah Hex?,Julia Jones,confederate|death|independence day|military|terrorist,PG-13,Action,Drama,,,
Anthony Russo,Chris Evans,Scarlett Johansson,Captain America: The Winter Soldier?,Hayley Atwell,conspiracy|heroism|megalomaniac|super soldier|world domination,PG-13,Action,,,,
Gene Quintano,Lin Shaye,Jon Lovitz,Loaded Weapon 1?,Bill Nunn,cookie|detective|microfilm|parody|sergeant,PG-13,Action,Comedy,,,
Jon Amiel,Tchéky Karyo,Glenn Morshower,The Core?,Rekha Sharma,core|earth|natural disaster|pacemaker|scientist,PG-13,Action,,,,
John Moore,Beau Bridges,Mila Kunis,Max Payne?,Jamie Hector,corporation|death|ex partner|hallucination|police detective,PG-13,Action,,Drama,,
Marc Webb,Andrew Garfield,Emma Stone,The Amazing Spider-Man 2?,B.J. Novak,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,PG-13,Action,,,,
Kevin Reynolds,James Frain,Henry Cavill,The Count of Monte Cristo?,Michael Wincott,count|escape|island|revenge|sailor,PG-13,Action,,Drama,,
Lee Tamahori,Nona Gaye,Sunny Mabrey,xXx: State of the Union?,Xzibit,coup d'etat|mutiny|president|u.s. navy|washington d.c.,PG-13,Action,,,,
Kenneth Branagh,Nonso Anozie,Colm Feore,Jack Ryan: Shadow Recruit?,Gemma Chan,covert analyst|marine|russian|spy|stock market,PG-13,Action,Drama,,,
Ellory Elkayem,Doug E. Doug,Scarlett Johansson,Eight Legged Freaks?,Riley Smith,creature feature|human versus spider|spider|spider feature|woman sheriff,PG-13,Action,Comedy,,,
Terry Gilliam,Heath Ledger,Matt Damon,The Brothers Grimm?,Mackenzie Crook,creature|curse|exorcism|girl|village,PG-13,Action,,Comedy,,
Robert Zemeckis,Anthony Hopkins,Robin Wright,Beowulf?,Sebastian Roché,creature|demon|king|reward|warrior,PG-13,Action,,,,
Guillermo del Toro,Iván Kamarás,Seth MacFarlane,Hellboy II: The Golden Army?,Brian Steele,creature|elf|prince|rebellion|superhero,PG-13,Action,,,,
Curtis Hanson,Glenn Morshower,Meryl Streep,The River Wild?,William Lucking,criminal|rafting|river|robber|white water rafting,PG-13,Action,,,,
Scott Waugh,Dominic Cooper,Rami Malek,Need for Speed?,Ramon Rodriguez,cross country|custom car|illegal street racing|police officer crushed|street racing,PG-13,Action,,Drama,,
Wolfgang Petersen,Mike Vogel,Jimmy Bennett,Poseidon?,Andre Braugher,cruise|escape|ocean|passenger|water,PG-13,Action,,Drama,,
Bryan Singer,Marlon Brando,Kevin Spacey,Superman Returns?,Frank Langella,crystal|epic|lex luthor|lois lane|return to earth,PG-13,Action,,,,
Steven Spielberg,Ray Winstone,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull?,Jim Broadbent,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,PG-13,Action,,,,
Michael Schultz,Vanity,Mike Starr,The Last Dragon?,Keshia Knight Pulliam,cult film|kung fu|kung fu classic|martial arts|title spoken by character,PG-13,Action,Comedy,Drama,,
Richard Fleischer,Brigitte Nielsen,Ernie Reyes Jr.,Red Sonja?,Sandahl Bergman,cult film|psychotronic|sword and sorcery|talisman|warrior,PG-13,Action,,,,
John Woo,Dougray Scott,Tom Cruise,Mission: Impossible II?,Richard Roxburgh,cure|mission|terrorist|thief|virus,PG-13,Action,,,,
Andrew Niccol,Olivia Wilde,Matt Bomer,In Time?,Justin Timberlake,currency|future|murder|on the run|time,PG-13,Action,,,,
Anne Fletcher,Richard T. Jones,Jim Gaffigan,Hot Pursuit?,Michael Mosley,danger|drug cartel|female cop|female police officer|fugitive,PG-13,Action,Comedy,,,
Steven Quale,Alycia Debnam-Carey,Matt Walsh,Into the Storm?,Scott Lawrence,danger|graduation|storm|teenage boy|tornado,PG-13,Action,,,,
Mark Neveldine,Spencer Wilding,Nicolas Cage,Ghost Rider: Spirit of Vengeance?,Christopher Lambert,deal with the devil|devil|eastern europe|ghost rider|monk,PG-13,Action,,,,
Jay Russell,Jay Hernandez,Billy Burke,Ladder 49?,Jacinda Barrett,death of husband|fire|firefighter|funeral|main character dies,PG-13,Action,Drama,,,
Gary Shore,Sarah Gadon,Dominic Cooper,Dracula Untold?,Zach McGowan,death of wife|dracula|tarantula|turk|vampire,PG-13,Action,Drama,,,
McG,Bryce Dallas Howard,Christian Bale,Terminator Salvation?,Common,death row|future|machine|rescue|skynet,PG-13,Action,,,,
Martin Campbell,Scott Glenn,Nicholas Lea,Vertical Limit?,Ben Mendelsohn,death|die hard scenario|k2|rescue|urination,PG-13,Action,,Drama,,
Sam Raimi,James Franco,J.K. Simmons,Spider-Man 2?,Kirsten Dunst,death|doctor|scientist|super villain|tentacle,PG-13,Action,,,,
Wolfgang Petersen,Mary Elizabeth Mastrantonio,Karen Allen,The Perfect Storm?,Bob Gunton,death|fish|fishing|sea|storm,PG-13,Action,,Drama,,
Andy Tennant,Ray Winstone,Matthew McConaughey,Fool's Gold?,Alexis Dziena,debt|rapper|treasure|treasure hunter|yacht,PG-13,Action,,Comedy,,
Christopher Nolan,Christian Bale,Tom Hardy,The Dark Knight Rises?,Joseph Gordon-Levitt,deception|imprisonment|lawlessness|police officer|terrorist plot,PG-13,Action,,,,
David Lynch,Jürgen Prochnow,Virginia Madsen,Dune?,José Ferrer,desert planet|dune|giant worm|space travel|spice,PG-13,Action,,,,
Wes Ball,Lili Taylor,Ki Hong Lee,The Scorch Trials?,Rosa Salazar,desert|disease|escape|resistance|virus,PG-13,Action,,,,
Chuck Russell,Roger Rees,Dwayne Johnson,The Scorpion King?,Bernard Hill,desert|king|showdown|sorceress|warrior,PG-13,Action,,,,
Asger Leth,Mandy Gonzalez,Robert Clohessy,Man on a Ledge?,J. Smith-Cameron,detective|diamond|hotel|police|rooftop,PG-13,Action,,,,
Les Mayfield,Dave Chappelle,Peter Greene,Blue Streak?,Tamala Jones,detective|diamond|jewel|police|thief,PG-13,Action,Comedy,,,
Jan de Bont,Alan Ruck,Philip Seymour Hoffman,Twister?,Jami Gertz,device|disaster|divorce|storm|tornado,PG-13,Action,,Drama,,
Brett Ratner,Don Cheadle,Salma Hayek,After the Sunset?,Chris Penn,diamond|fbi|fbi agent|island|thief,PG-13,Action,Comedy,,Drama,
Courtney Solomon,Paul Freeman,Rebecca Budig,Getaway?,Bruce Payne,die hard scenario|earth viewed from space|race against time|race car driver|title at the end,PG-13,Action,,,,
Colin Trevorrow,Judy Greer,Bryce Dallas Howard,Jurassic World?,Omar Sy,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,PG-13,Action,,,,
Joe Johnston,Trevor Morgan,Michael Jeter,Jurassic Park III?,Alessandro Nivola,dinosaur|island|jurassic park|paleontologist|search,PG-13,Action,,,,
Brad Peyton,Ioan Gruffudd,Dwayne Johnson,San Andreas?,Archie Panjabi,disaster movie|earthquake|journey|natural disaster|san andreas fault,PG-13,Action,,Drama,,
Raja Gosnell,Cedric the Entertainer,Nia Long,Big Momma's House?,Tichina Arnold,disguise|fbi|female impersonation|gender disguise|obesity,PG-13,Action,Comedy,,,
Brian De Palma,Kristin Scott Thomas,Tom Cruise,Mission: Impossible?,Vanessa Redgrave,disguise|mission|spy|stealing|traitor,PG-13,Action,,,,
Rob Cohen,Brian Thompson,Dennis Quaid,DragonHeart?,Terry O'Neill,dragon|england|human dragon relationship|king|knight,PG-13,Action,,,,
Craig Mazin,Tracy Morgan,Drake Bell,Superhero Movie?,Marion Ross,dragonfly|hero|high school|soaking wet|supervillian origin,PG-13,Action,Comedy,,,
Louis Leterrier,Jason Flemyng,Jason Statham,Transporter 2?,Matthew Modine,driver|french|kidnapping|police|sequel,PG-13,Action,,,,
Tony Scott,Robert Duvall,Tom Cruise,Days of Thunder?,Randy Quaid,driver|hot shot|racing|stock car driver|team,PG-13,Action,Drama,,,
Mabrouk El Mechri,Bruce Willis,Henry Cavill,The Cold Light of Day?,óscar Jaenada,driving a car down stairs|duct tape gag|held captive|murder of a police officer|sailing,PG-13,Action,,,,
John Glen,Talisa Soto,Robert Davi,Licence to Kill?,Anthony Zerbe,drug cartel|drug lord|james bond 007|personal vendetta|vengeance,PG-13,Action,,,,
Robert Schwentke,Jeff Bridges,Ryan Reynolds,R.I.P.D.?,Stephanie Szostak,drug dealer|gold|partner|police|undead,PG-13,Action,Comedy,,,
Justin Lin,Vin Diesel,Paul Walker,Fast Five?,Dwayne Johnson,drug lord|drugs|federal agent|heist|police,PG-13,Action,,,,
Brad Bird,Jeremy Renner,Tom Cruise,Mission: Impossible - Ghost Protocol?,Michael Nyqvist,dubai|kremlin|race against time|russian|terrorist,PG-13,Action,,,,
Jan de Bont,Angelina Jolie Pitt,Gerard Butler,Lara Croft Tomb Raider: The Cradle of Life?,Djimon Hounsou,duology|female hero|female lead|orb|pandora's box,PG-13,Action,,,,
Bryan Singer,Peter Dinklage,Jennifer Lawrence,X-Men: Days of Future Past?,Hugh Jackman,dystopia|super strength|supernatural power|time paradox|time travel,PG-13,Action,,,,
Stuart Baird,LeVar Burton,Tom Hardy,Star Trek: Nemesis?,Jonathan Frakes,earth|federation|romulan|slave|space,PG-13,Action,,,,
Mick Jackson,Anne Heche,Don Cheadle,Volcano?,Gaby Hoffmann,earthquake|fire|lava|rescue|volcano,PG-13,Action,Drama,,,
Ridley Scott,María Valverde,Christian Bale,Exodus: Gods and Kings?,Ben Mendelsohn,egypt|exodus|moses|pharaoh|plague,PG-13,Action,,Drama,,
Rob Cohen,Vin Diesel,Paul Walker,The Fast and the Furious?,Jordana Brewster,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,PG-13,Action,,,,
Peter Jackson,Orlando Bloom,Christopher Lee,The Lord of the Rings: The Fellowship of the Ring?,Billy Boyd,elf|hobbit|middle earth|quest|ring,PG-13,Action,,Drama,,
George Lucas,Christopher Lee,Natalie Portman,Star Wars: Episode III - Revenge of the Sith?,Hayden Christensen,elongated cry of no|friends become enemies|kicked in the butt|robotic midwife|vision,PG-13,Action,,,,
Ron Howard,Benjamin Walker,Chris Hemsworth,In the Heart of the Sea?,Frank Dillane,emaciation|ship|starvation|vomiting|whale,PG-13,Action,,,Drama,
Peter Jackson,Orlando Bloom,Christopher Lee,The Lord of the Rings: The Two Towers?,Billy Boyd,epic|evil wizard|middle earth|ring|wizard,PG-13,Action,,Drama,,
Rupert Sanders,Kristen Stewart,Chris Hemsworth,Snow White and the Huntsman?,Sam Claflin,evil queen|fairy tale|magic|queen|snow white,PG-13,Action,,Drama,,
Sam Raimi,James Franco,J.K. Simmons,Spider-Man?,Kirsten Dunst,evil|goblin|spider|spider man|superhero,PG-13,Action,,,,
Roger Spottiswoode,Colin Salmon,Vincent Schiavelli,Tomorrow Never Dies?,Joe Don Baker,ex boyfriend ex girlfriend relationship|media tycoon|megalomaniac|official james bond series|world war three,PG-13,Action,,,,
Mario Van Peebles,Mario Van Peebles,Martin Kove,Red Sky?,Jacob Vargas,exploding airplane|fighter pilot|hands tied|held at gunpoint|military,PG-13,Action,,,,
Guy Ritchie,Eddie Marsan,Robert Downey Jr.,Sherlock Holmes: A Game of Shadows?,Paul Anderson,factory|gypsy|investigation|sherlock holmes|train,PG-13,Action,,,,
Johnny Remo,Randy Wayne,Matthew Ziff,Hardflip?,Raquel Elizabeth Ames,family relationships|loss of mother|san diego california|single mother|suicide attempt,PG-13,Action,Drama,,,
Renny Harlin,Kyle Schmid,Laura Ramsey,The Covenant?,Toby Hemingway,family secret|friendship between men|magic|supernatural power|teenager,PG-13,Action,,,,
Louis Leterrier,Jason Flemyng,Liam Neeson,Clash of the Titans?,Alexa Davalos,famous line|hand to hand combat|kraken|rape|zeus,PG-13,Action,,,,
Uwe Boll,Mike Dopud,Jason Statham,In the Name of the King: A Dungeon Siege Tale?,Tania Saulnier,farmer|king|krug|rescue|wizard,PG-13,Action,,,,
John Whitesell,Tony Curran,Brandon T. Jackson,"Big Mommas: Like Father, Like Son?",Portia Doubleday,fbi agent|murder|performing arts school|scene during end credits|undercover,PG-13,Action,Comedy,,,
Len Wiseman,Jonathan Sadowski,Bruce Willis,Live Free or Die Hard?,Cyril Raffaelli,fbi|hacker|independence day|police|terrorist,PG-13,Action,,,,
McG,Bernie Mac,Demi Moore,Charlie's Angels: Full Throttle?,Justin Theroux,fbi|murder|ring|witness protection|witness protection program,PG-13,Action,,Comedy,,
Jay Roach,Josh Zuckerman,Verne Troyer,Austin Powers in Goldmember?,Robert Wagner,fem bot|prison|seductive fembot|spy|time travel,PG-13,Action,Comedy,,,
Corey Yuen,Holly Valance,Steve Howey,DOA: Dead or Alive?,Sarah Carter,female fighter|island|martial arts|parachute|tournament,PG-13,Action,,,,
Olivier Megaton,Callum Blue,Jordi Mollà,Colombiana?,Jesse Borrego,female in a shower|female nudity|premarital sex|sex scene|woman wearing a miniskirt,PG-13,Action,,Drama,,
Frank Miller,Jaime King,Scarlett Johansson,The Spirit?,Louis Lombardi,female star appears nude|pants falling down|samurai|white rat|woman in a towel,PG-13,Action,,,,
Kenneth Johnson,Annabeth Gish,Charles Napier,Steel?,Hill Harper,fight|gang|junkyard|military|soldier,PG-13,Action,,,,
James Wong,Jet Li,Jason Statham,The One?,Delroy Lindo,fight|multiverse|police|police officer|prison,PG-13,Action,,,,
Warren Sheppard,Randy Jay Burrell,Jennifer Hale,Fight to the Finish?,Vincent De Paul,fighting|karate,PG-13,Action,,,,
W.D. Hogan,Keenan Tracey,Tom Everett Scott,Independence Daysaster?,Nicholas Carella,fireworks|kiss|to be continued ending|uncle nephew relationship|usaf,PG-13,Action,,,,
Clark Johnson,David Rasche,Blair Brown,The Sentinel?,Martin Donovan,first lady|framed|investigation|president|secret service,PG-13,Action,,,,
Bryan Singer,Tyler Mane,Hugh Jackman,X-Men?,Bruce Davison,first part|mutant|professor|superhero|superhero team,PG-13,Action,,,,
Yimou Zhang,Andy Lau,Takeshi Kaneshiro,House of Flying Daggers?,Zhengyong Zhang,flying|flying dagger|government|police|secret,PG-13,Action,,Drama,,
Randall Wallace,Anne Parillaud,Leonardo DiCaprio,The Man in the Iron Mask?,Judith Godrèche,france|musketeer|three musketeers|twin|twin brother,PG-13,Action,,,,
Tony Scott,Rosario Dawson,Denzel Washington,Unstoppable?,Ethan Suplee,freight train|race against time|runaway train|train|train engineer,PG-13,Action,,,,
Steven Spielberg,Frank Grillo,Tom Cruise,Minority Report?,Jessica Capshaw,future|murder|neo noir|washington d.c.|year 2054,PG-13,Action,,,,
Kevin Reynolds,Rick Aviles,Jeanne Tripplehorn,Waterworld?,Zakes Mokae,future|sail|sea|smoker|water,PG-13,Action,,,,
Jon M. Chu,Dwayne Johnson,Channing Tatum,G.I. Joe: Retaliation?,Elodie Yung,general|gi joe|martial arts|ninja|president,PG-13,Action,,,,
Hironobu Sakaguchi,Ming-Na Wen,Steve Buscemi,Final Fantasy: The Spirits Within?,Jean Simmons,general|military|scientist|soldier|year 2065,PG-13,Action,,,,
Paul Feig,Kate McKinnon,Ed Begley Jr.,Ghostbusters?,Zach Woods,ghost|ghostbuster|ghostbusters|male objectification|reboot,PG-13,Action,Comedy,,,
Guillermo del Toro,Clifton Collins Jr.,Charlie Hunnam,Pacific Rim?,Larry Joe Campbell,giant monster|kaiju|pilot|portal|robot,PG-13,Action,,,,
Gore Verbinski,Orlando Bloom,Johnny Depp,Pirates of the Caribbean: At World's End?,Jack Davenport,goddess|marriage ceremony|marriage proposal|pirate|singapore,PG-13,Action,,,,
F. Gary Gray,Charlize Theron,Jason Statham,The Italian Job?,Jimmy Shubert,gold|heist|revenge|traffic jam|venice italy,PG-13,Action,,,,
Peter Hyams,Justin Chambers,Catherine Deneuve,The Musketeer?,Stephen Rea,guard|king|murder|musketeer|swordsman,PG-13,Action,,,,
John Milius,Jennifer Grey,Lea Thompson,Red Dawn?,William Smith,guerrilla|high school|invasion|soviet|wolverine,PG-13,Action,Drama,,,
Steven E. de Souza,Raul Julia,Ming-Na Wen,Street Fighter?,Kylie Minogue,guile|hostage|ransom|soldier|united nations,PG-13,Action,,Comedy,,
Tim Story,Tika Sumpter,Bruce McGill,Ride Along?,Bryan Callen,gunfight|outrunning explosion|police|security guard|street shootout,PG-13,Action,Comedy,,,
Sylvain White,Jason Patric,Chris Evans,The Losers?,óscar Jaenada,hacking|hijacking|martial arts|revenge|special forces,PG-13,Action,,Drama,,
Dennis Dugan,Sayed Badreya,Adam Sandler,You Don't Mess with the Zohan?,Kevin Nealon,hair stylist|jew|landlord|muslim|palestinian,PG-13,Action,Comedy,,,
Jon Favreau,Scarlett Johansson,Robert Downey Jr.,Iron Man 2?,Jon Favreau,hammer|military|monaco|revenge|tony stark,PG-13,Action,,,,
Justin Lin,Melissa Roxburgh,Sofia Boutella,Star Trek Beyond?,Lydia Wilson,hatred|sequel|space opera|star trek|third part,PG-13,Action,,,,
James Mangold,Tao Okamoto,Hugh Jackman,The Wolverine?,Rila Fukushima,healing power|marvel comics|mecha|regeneration|self healing,PG-13,Action,,,,
Michel Gondry,Tom Wilkinson,Christoph Waltz,The Green Hornet?,Chad L. Coleman,heir|kung fu|party|playboy|superhero,PG-13,Action,Comedy,,,
Robert Luketic,Lisa Ann Walter,Tom Selleck,Killers?,Catherine O'Hara,hired killer|marriage|neighbor|on the run|store clerk,PG-13,Action,Comedy,,,
Gordon Chan,Lee Evans,Julian Sands,The Medallion?,Anthony Chau-Sang Wong,hong kong|interpol|medallion|ship|tough cop,PG-13,Action,Comedy,,,
Shane Acker,Alan Oppenheimer,Martin Landau,9?,Tom Kane,hope|key|machine|number|rag doll,PG-13,Action,,,Drama,
Gore Verbinski,Ruth Wilson,Johnny Depp,The Lone Ranger?,Tom Wilkinson,horse|outlaw|texas|texas ranger|train,PG-13,Action,,,,
Andrew Davis,Daniel Roebuck,Harrison Ford,The Fugitive?,Sela Ward,hospital|on the run|one armed man|surgeon|u.s. marshal,PG-13,Action,,,Drama,
Clark Johnson,Josh Charles,Jeremy Renner,S.W.A.T.?,LL Cool J,hostage|police|prison|swat team|training,PG-13,Action,,,,
Alex Proyas,Bruce Greenwood,Will Smith,"I, Robot?",Chi McBride,humanoid robot|man versus machine|prosthetic limb|robot as pathos|robot vs. robot,PG-13,Action,,,,
Simon Wells,Alan Young,Mark Addy,The Time Machine?,Josh Stamberg,hunter|scientist|time machine|time travel|time travel romance,PG-13,Action,,,,
Simon West,Noah Taylor,Angelina Jolie Pitt,Lara Croft: Tomb Raider?,Chris Barrie,illuminati|planetary alignment|time|tomb|tomb raider,PG-13,Action,,,,
Renny Harlin,Frank Langella,Christopher Masterson,Cutthroat Island?,Matthew Modine,latin|pirate|pirate ship|treasure|treasure map,PG-13,Action,,Comedy,,
José Padilha,Abbie Cornish,Gary Oldman,RoboCop?,Jennifer Ehle,law enforcement|police|robocop|robot|technology,PG-13,Action,,,,
Les Mayfield,Ronny Cox,Gregory Smith,American Outlaws?,Harris Yulin,legend|old west|outlaw|railroad|stealing from the rich,PG-13,Action,,,,
Marc Webb,Andrew Garfield,Emma Stone,The Amazing Spider-Man?,Chris Zylka,lizard|outcast|spider|spider man|teenager,PG-13,Action,,,,
Joel Schumacher,Rene Auberjonois,Michael Gough,Batman Forever?,Debi Mazar,love|necktie|partner|rock music|tuxedo,PG-13,Action,,,,
Paul Hunter,Mako,Jaime King,Bulletproof Monk?,Victoria Smurfit,monastery|monk|scroll|tibetan|tibetan monk,PG-13,Action,Comedy,,,
Rob Minkoff,Thomas McDonell,Jet Li,The Forbidden Kingdom?,Michael Angarano,monkey king|staff|teenager|urination|warrior,PG-13,Action,,,,
Joseph Kahn,Jay Hernandez,Dane Cook,Torque?,Christina Milian,murder|on the run|security camera|surveillance footage|timebomb,PG-13,Action,Comedy,,,
Bryan Singer,Bruce Davison,Hugh Jackman,X-Men 2?,Aaron Stanford,mutant|prison|professor|school|x men,PG-13,Action,,,,
Bryan Singer,Michael Fassbender,Jennifer Lawrence,X-Men: Apocalypse?,Tye Sheridan,mutant|superhero|superhero team|x men|year 1983,PG-13,Action,,,,
Clint Eastwood,Courtney B. Vance,Clint Eastwood,Space Cowboys?,William Devane,nasa|old age|satellite|space|space shuttle,PG-13,Action,,,,
Steve Boyum,Mike Vogel,Channing Tatum,Supercross?,Steve Howey,one word title|paddock|supercross|swimming pool|winning,PG-13,Action,Drama,,,
Jay Roach,Verne Troyer,Muse Watson,Austin Powers: The Spy Who Shagged Me?,Robert Wagner,penis joke|phallic image|sexy agent|spy|volcano hideout,PG-13,Action,,Comedy,,
Florian Henckel von Donnersmarck,Angelina Jolie Pitt,Johnny Depp,The Tourist?,Rufus Sewell,police surveillance|surveillance van|tailing a suspect|tourist|venice italy,PG-13,Action,,,,
Marcos Siega,Nick Cannon,Cheech Marin,Underclassman?,Kaylee DeFer,police|private school|shootout|undercover|wigger,PG-13,Action,Comedy,,Drama,
Sam Raimi,James Franco,J.K. Simmons,Spider-Man 3?,Kirsten Dunst,sandman|spider man|symbiote|venom|villain,PG-13,Action,,,,
Ridley Scott,Orlando Bloom,Liam Neeson,Kingdom of Heaven?,Philip Glenister,12th century|crusader|jerusalem|knight|medieval times,R,Action,,Drama,,
Chatrichalerm Yukol,Chatchai Plengpanich,Sarunyu Wongkrachang,The Legend of Suriyothai?,Mai Charoenpura,16th century|burmese|invasion|queen|thailand,R,Action,,Drama,,
Roland Joffé,Alice Englert,Tamsin Egerton,The Lovers?,Bipasha Basu,1770s|british india|great barrier reef|india|ring,R,Action,,,,
Steve Miner,Richard E. Grant,Julian Sands,Warlock?,Lori Singer,17th century|book|death|warlock|witch hunter,R,Action,,,,
Michael Mann,Terry Kinney,Wes Studi,The Last of the Mohicans?,Eric Schweig,18th century|based on novel|colonel|french and indian war|revenge,R,Action,,Drama,,
Stephen Chow,Chi Ling Chiu,Shengyi Huang,Kung Fu Hustle?,Qiu Yuen,1940s|axe|china|gang|sign language,R,Action,Comedy,,,
Je-kyu Kang,Bin Won,Min-sik Choi,Tae Guk Gi: The Brotherhood of War?,Dong-gun Jang,1950s|archeologist|korea|korean war|soldier,R,Action,Drama,,,
Scott Kalvert,James Franco,Norman Reedus,Deuces Wild?,Frankie Muniz,1950s|drug overdose|gang|gang war|new york city,R,Action,,Drama,,
Ron Howard,Olivia Wilde,Chris Hemsworth,Rush?,Alexandra Maria Lara,1970s|female rear nudity|formula 1|rivalry|sex with a nurse,R,Action,,Drama,,
Andrey Konchalovskiy,Jack Palance,Sylvester Stallone,Tango & Cash?,Brion James,1980s|80s action|escape|plea bargain|prison,R,Action,Comedy,,,
Ted Kotcheff,Brian Dennehy,Sylvester Stallone,First Blood?,Chris Mulkey,1980s|colonel|deputy|rambo|sheriff,R,Action,,Drama,,
George P. Cosmatos,Julia Nickson,Sylvester Stallone,Rambo: First Blood Part II?,Martin Kove,1980s|mission|prison|rambo|vietnam,R,Action,,,,
Stephen Norrington,Traci Lords,Sanaa Lathan,Blade?,Udo Kier,1990s|blade|blood|vampire|vampire hunter,R,Action,,,,
John Carpenter,Adrienne Barbeau,Donald Pleasence,Escape from New York?,Tom Atkins,1990s|police|prison|rescue|year 1997,R,Action,,,,
John McTiernan,Harry Connick Jr.,Connie Nielsen,Basic?,Tim Daly,2000s|army|military crime|necklace yanked off|panama,R,Action,,Drama,,
Rachel Talalay,Lori Petty,Naomi Watts,Tank Girl?,Jeff Kober,2030s|21st century|desert|jet|tank,R,Action,Comedy,,,
Edward Zwick,Bruce Willis,Denzel Washington,The Siege?,Mark Valley,abduction|martial law|military|new york city|terrorist,R,Action,,,,
Edgar Wright,Joe Cornish,Bill Bailey,Hot Fuzz?,Billie Whitelaw,accident|conspiracy|police|police officer|village,R,Action,Comedy,,,
Martin Brest,Yaphet Kotto,Robert De Niro,Midnight Run?,Philip Baker Hall,accountant|bounty hunter|fbi|mafia|mob,R,Action,Comedy,,,
Guy Ritchie,Gerard Butler,Tom Hardy,RocknRolla?,Tom Wilkinson,accountant|finger gun|homosexual|killed in an elevator|painting,R,Action,,,,
Craig Mazin,James Gunn,Judy Greer,The Specials?,Jamie Kennedy,action figure|press conference|superhero|superhero team|toy,R,Action,Comedy,,,
Sylvester Stallone,Sylvester Stallone,Jason Statham,The Expendables?,Jet Li,action hero|assassination attempt|explosion|machine gun|rescue mission,R,Action,,,,
Chris Nahon,Bridget Fonda,Jet Li,Kiss of the Dragon?,Max Ryan,action hero|chinese|forced prostitution|one man army|title spoken by character,R,Action,,Drama,,
Taylor Hackford,Clifton Collins Jr.,Jason Statham,Parker?,Wendell Pierce,action hero|disguise|hospital|real estate agent|thief,R,Action,,,,
